Chr	Start	End	Strand	Feature	ID	Mismatch_vs_Consensus	No.Sublocations	No.Probes	MeanMiwi2_KO	StDevMiwi2_KO	MeanSpocd1_KO	StDevSpocd1_KO	MeanWT	StDevWT
chr1	15257902	15264360	-	L1Md_T	L1Md_T	30	1	3	63.613143999999998	4.3897686	53.115670000000001	5.168829	70.17745	0.2654419
chr1	15928133	15933542	-	L1Md_T	L1Md_T	34	1	1	93.67013	0	NaN	0	92.10145	0
chr1	16163691	16170027	-	L1Md_T	L1Md_T	38	1	4	63.329079999999998	38.35778	73.750699999999995	25.582962	86.63216	14.919859
chr1	17288554	17294384	-	L1Md_T	L1Md_T	41	1	2	60.499844000000003	43.246586	60.669409999999999	28.092215	90.60614	7.2353826
chr1	17383283	17390159	-	L1Md_T	L1Md_T	30	1	1	81.245710000000003	0	87.000275000000002	0	90.06844	0
chr1	17466854	17472493	+	L1Md_T	L1Md_T	36	1	3	33.761733999999997	33.297123	40.816135000000003	33.736694	90.97155	3.9589229
chr1	17897629	17904101	-	L1Md_T	L1Md_T	45	1	3	61.9878	25.93947	75.110129999999998	14.26023	90.39323	3.7073677
chr1	17916130	17922587	-	L1Md_T	L1Md_T	31	1	4	68.188995000000006	31.506468	69.833534	32.043003	87.115710000000007	6.3577414
chr1	18472708	18478219	+	L1Md_T	L1Md_T	49	1	3	52.796970000000002	25.026321	54.330919999999999	32.536674	89.96914	2.04031
chr1	18537027	18543535	+	L1Md_T	L1Md_T	35	1	1	90.755380000000002	0	84.953140000000005	0	86.30891	0
chr1	18658620	18664271	+	L1Md_T	L1Md_T	51	1	4	62.458182999999998	23.771456	71.740989999999996	17.290464	88.22316	6.397503
chr1	18872424	18877658	+	L1Md_T	L1Md_T	37	1	3	67.776089999999996	29.560904	75.624619999999993	9.907687	89.80476	1.8930008
chr1	19372290	19377716	+	L1Md_T	L1Md_T	35	1	3	62.146957	25.875786	67.270489999999995	25.392052	92.577774	4.1656985
chr1	19398790	19404030	+	L1Md_T	L1Md_T	42	1	3	67.737970000000004	20.547195	69.971405000000004	16.958597	91.06889	4.6722865
chr1	19443832	19450262	-	L1Md_T	L1Md_T	47	1	3	64.86327	27.49286	67.873633999999996	20.845112	91.24677	1.8146036
chr1	20642390	20648531	-	L1Md_T	L1Md_T	37	1	3	73.512069999999994	25.681335	84.245270000000005	12.841445	88.70087	4.4190617
chr1	21195385	21202212	-	L1Md_T	L1Md_T	34	1	1	95.439490000000006	0	95.604740000000007	0	92.62857	0
chr1	22092291	22097479	+	L1Md_T	L1Md_T	29	1	3	62.459829999999997	31.094263	75.119150000000005	14.29274	91.8444	4.2402635
chr1	23295730	23301110	-	L1Md_T	L1Md_T	35	1	1	76.155889999999999	0	NaN	0	86.52557	0
chr1	24639746	24646186	-	L1Md_T	L1Md_T	42	1	4	52.307113999999999	37.393707	53.941966999999998	36.038643	79.80812	29.897753
chr1	25909773	25915713	+	L1Md_T	L1Md_T	29	1	4	57.076312999999999	10.537195	65.467674000000002	8.966515	80.23445	6.239821
chr1	27159405	27165196	+	L1Md_T	L1Md_T	37	1	4	24.963104000000001	19.82006	50.699849999999998	16.301434	69.050514	22.582672
chr1	27755094	27760319	+	L1Md_T	L1Md_T	36	1	2	44.106960000000001	3.3128583	53.664695999999999	7.083484	72.82347	22.03927
chr1	28186281	28192894	-	L1Md_T	L1Md_T	31	1	4	47.394030000000001	31.584877	43.479103000000002	30.178804	74.313065	14.903249
chr1	28302785	28307891	+	L1Md_T	L1Md_T	38	1	2	48.743819999999999	34.95116	49.794272999999997	9.964373	65.86295	11.574463
chr1	28398920	28404167	+	L1Md_T	L1Md_T	44	1	3	45.555171999999999	31.76952	52.986874	18.504326	83.79137	2.9787722
chr1	29332859	29338001	+	L1Md_T	L1Md_T	29	1	3	63.074333000000003	21.472563	47.627662999999998	14.899518	64.87025	24.916624
chr1	29406980	29413476	-	L1Md_T	L1Md_T	106	1	4	48.813282000000001	14.821588	44.077860000000001	5.7107663	59.256477	11.183402
chr1	29703425	29708852	+	L1Md_T	L1Md_T	35	1	2	29.552706000000001	38.84756	51.229874000000002	0	65.804474	16.044252
chr1	29888964	29895327	-	L1Md_T	L1Md_T	44	1	4	48.844616000000002	19.357426	46.367187999999999	17.068554	67.23258	11.86322
chr1	30660608	30667036	-	L1Md_T	L1Md_T	26	1	2	59.081726000000003	42.8238	67.988159999999993	0	95.495605	1.4428222
chr1	30730353	30735864	+	L1Md_T	L1Md_T	49	1	4	68.525695999999996	6.3154287	68.494140000000002	9.103795	83.25004	4.645271
chr1	30760531	30765911	+	L1Md_T	L1Md_T	44	1	3	77.806945999999996	12.26398	81.007639999999995	5.011232	88.45569	2.8366833
chr1	31295116	31301338	-	L1Md_T	L1Md_T	34	1	4	64.619529999999997	27.788841	71.122153999999995	14.560104	86.39698	5.388703
chr1	31410363	31416710	-	L1Md_T	L1Md_T	24	1	3	50.990810000000003	8.647833	45.999077	12.765509	68.39291	23.607798
chr1	31486311	31492691	-	L1Md_T	L1Md_T	37	1	4	38.935284000000003	20.100815	42.767180000000003	3.5609245	59.932117	17.649893
chr1	31694818	31701487	-	L1Md_T	L1Md_T	30	1	3	67.05986	14.726162	55.798484999999999	24.419205	85.46936	5.440834
chr1	32665664	32671065	+	L1Md_T	L1Md_T	35	1	2	58.008769999999998	38.97998	74.675309999999996	16.367344	86.44551	1.28674
chr1	33013356	33020202	-	L1Md_T	L1Md_T	30	1	1	77.658060000000006	0	85.703699999999998	0	88.06726	0
chr1	33227460	33233688	-	L1Md_T	L1Md_T	30	1	2	68.035933999999997	31.74452	73.577680000000001	12.668423	91.42285	0.6873888
chr1	33407421	33413874	+	L1Md_T	L1Md_T	35	1	1	75.095560000000006	0	69.007940000000005	0	84.96472	0
chr1	36951188	36957466	-	L1Md_T	L1Md_T	30	1	1	64.709909999999994	0	79.228790000000004	0	97.443306	0
chr1	39721941	39728186	-	L1Md_T	L1Md_T	39	1	1	21.898147999999999	0	37.616366999999997	0	96.23773	0
chr1	44348549	44353894	+	L1Md_T	L1Md_T	33	1	3	45.679226	32.142166	54.794677999999998	1.9471359	78.03378	13.3462105
chr1	44413275	44419248	-	L1Md_T	L1Md_T	41	1	3	68.005480000000006	14.667927	66.721850000000003	11.809126	80.0713	3.7023451
chr1	44959260	44965535	+	L1Md_T	L1Md_T	36	1	1	60.082348000000003	0	63.080210000000001	0	74.53571	0
chr1	45230961	45237200	-	L1Md_T	L1Md_T	43	1	3	62.038963000000003	25.705126	72.870369999999994	0	84.67983	5.434743
chr1	45654357	45659476	+	L1Md_T	L1Md_T	42	1	3	74.506454000000005	21.717644	77.869964999999993	6.080986	89.7905	6.0320044
chr1	46951157	46957368	-	L1Md_T	L1Md_T	30	1	2	71.407780000000002	27.721735	71.733863999999997	12.779313	86.54431	5.5231066
chr1	47080714	47086821	-	L1Md_T	L1Md_T	31	1	2	71.780945000000003	5.4056673	70.271339999999995	14.097319	89.86916	5.946641
chr1	47105827	47111272	+	L1Md_T	L1Md_T	35	1	2	54.793326999999998	38.97383	63.926403000000001	0	81.30501	17.95343
chr1	47143236	47149695	-	L1Md_T	L1Md_T	44	1	3	63.847622000000001	31.83134	66.420159999999996	29.12581	92.42413	5.624646
chr1	47518343	47524514	-	L1Md_T	L1Md_T	30	1	3	62.361519999999999	30.336	73.658479999999997	13.466542	86.468864	2.6390543
chr1	47587691	47592925	+	L1Md_T	L1Md_T	35	1	2	46.109720000000003	24.70308	52.468902999999997	16.638737	76.16697	9.3771925
chr1	47714837	47721509	-	L1Md_T	L1Md_T	50	1	2	69.030460000000005	5.587601	71.013350000000003	4.6931977	77.42183	11.489655
chr1	48225211	48231889	-	L1Md_T	L1Md_T	32	1	1	74.847885000000005	0	67.472219999999993	0	63.05078	0
chr1	48363311	48368869	-	L1Md_T	L1Md_T	47	1	2	52.896763	1.4896544	50.566519999999997	5.795708	80.53145	3.1351807
chr1	48545548	48552244	+	L1Md_T	L1Md_T	38	1	1	72.361885000000001	0	73.702309999999997	0	70.84604	0
chr1	48689308	48695522	-	L1Md_T	L1Md_T	41	1	3	61.849989999999998	20.705986	67.915819999999997	17.763477	75.974045	1.8374338
chr1	48709098	48715359	-	L1Md_T	L1Md_T	42	1	3	55.404193999999997	30.157288	52.999217999999999	32.39926	77.035	15.256204
chr1	48814981	48820429	+	L1Md_T	L1Md_T	55	1	3	43.443809999999999	27.241663	48.401783000000002	23.172321	69.949745	21.489744
chr1	48822719	48827917	+	L1Md_T	L1Md_T	38	1	3	55.947234999999999	20.336535	54.09131	11.926609	66.06466	15.378227
chr1	48921814	48928252	-	L1Md_T	L1Md_T	30	1	2	45.572989999999997	50.09808	72.976650000000006	0	78.23581	11.63253
chr1	49604853	49611072	-	L1Md_T	L1Md_T	56	1	3	65.025000000000006	14.46793	72.229010000000002	6.6415205	75.22998	9.157755
chr1	50122450	50128402	-	L1Md_T	L1Md_T	33	1	4	63.029766000000002	8.3947	66.103440000000006	2.0357614	73.102264	7.714524
chr1	50329971	50335398	+	L1Md_T	L1Md_T	34	1	2	55.064663000000003	39.366653	47.619790000000002	44.541534	81.33629	3.0629766
chr1	50415162	50421370	-	L1Md_T	L1Md_T	21	1	4	59.126100000000001	13.525432	62.845646000000002	5.334654	73.12033	10.279136
chr1	52399920	52405877	+	L1Md_T	L1Md_T	35	1	1	86.392600000000002	0	83.285849999999996	0	82.8883	0
chr1	54387178	54392707	+	L1Md_T	L1Md_T	35	1	2	29.537936999999999	29.83171	47.964739999999999	0	97.50827	0.47935465
chr1	56380332	56385760	+	L1Md_T	L1Md_T	36	1	3	65.947524999999999	25.092579	64.967789999999994	25.582287	92.70868	2.4305058
chr1	56458631	56464845	-	L1Md_T	L1Md_T	31	1	3	68.993120000000005	23.853561	63.779921999999999	26.088306	92.136986	0.93057764
chr1	56714378	56720186	+	L1Md_T	L1Md_T	34	1	1	NaN	0	84.829059999999998	0	NA	0
chr1	57064297	57069710	-	L1Md_T	L1Md_T	33	1	1	49.298430000000003	0	85.416663999999997	0	90.97571	0
chr1	61491786	61499623	-	L1Md_T	L1Md_T	34	1	2	74.278090000000006	29.492584	81.734116	18.788404	89.18762	0.98624974
chr1	61514244	61520356	+	L1Md_T	L1Md_T	36	1	1	91.402109999999993	0	94.893439999999998	0	89.08694	0
chr1	62671355	62677568	-	L1Md_T	L1Md_T	29	1	2	66.644660000000002	37.710365	94.513306	0	92.7605	6.095554
chr1	62864966	62870970	-	L1Md_T	L1Md_T	19	1	3	95.446205000000006	1.7111586	94.389610000000005	5.6788106	94.956184	2.1572366
chr1	65423855	65429998	-	L1Md_T	L1Md_T	27	1	2	68.692480000000003	33.640617	84.850859999999997	10.680025	95.48105	0.09409065
chr1	65973450	65980154	-	L1Md_T	L1Md_T	56	1	1	85.160830000000004	0	83.194450000000003	0	91.376	0
chr1	66036915	66042116	+	L1Md_T	L1Md_T	23	1	2	66.662059999999997	26.784973	NaN	0	88.41807	7.0627165
chr1	67619666	67625859	-	L1Md_T	L1Md_T	31	1	3	51.596657	46.174908	65.692893999999995	20.660782	83.22273	13.34717
chr1	73317802	73323213	-	L1Md_T	L1Md_T	34	1	1	93.979669999999999	0	90.053830000000005	0	94.55844	0
chr1	73472700	73478880	-	L1Md_T	L1Md_T	51	1	4	78.915629999999993	26.305222	82.698524000000006	7.5097218	95.5046	2.2280393
chr1	73885250	73890879	+	L1Md_T	L1Md_T	36	1	3	74.393600000000006	25.410652	85.608800000000002	17.045698	96.84417	0.6662529
chr1	75707807	75715492	-	L1Md_T	L1Md_T	31	1	1	75.943854999999999	0	70.961190000000002	0	79.67963	0
chr1	76351327	76356711	+	L1Md_T	L1Md_T	46	1	3	83.512860000000003	16.879036	80.112200000000001	19.102509	94.96878	1.7930745
chr1	77936630	77942581	-	L1Md_T	L1Md_T	35	1	2	92.955950000000001	3.505938	85.683059999999998	0.6078209	95.02055	0.16057612
chr1	78240864	78247263	-	L1Md_T	L1Md_T	30	1	3	58.140616999999999	47.19093	80.388350000000003	4.193367	93.7555	2.884155
chr1	79380835	79386314	+	L1Md_T	L1Md_T	35	1	3	42.088360000000002	31.395311	71.581739999999996	0.281456	83.55711	11.851647
chr1	80983779	80989388	+	L1Md_T	L1Md_T	35	1	3	45.478844000000002	48.468845	72.299610000000001	0	88.533424	10.038554
chr1	81419668	81425671	+	L1Md_T	L1Md_T	37	1	1	93.565100000000001	0	93.037319999999994	0	86.23997	0
chr1	81443877	81449298	+	L1Md_T	L1Md_T	84	1	4	66.453270000000003	33.869015	69.613789999999995	33.925163	68.02656	33.886734
chr1	83511077	83516910	-	L1Md_T	L1Md_T	43	1	2	69.555239999999998	32.13003	83.051765000000003	0	93.74536	1.0977764
chr1	94101111	94106377	+	L1Md_T	L1Md_T	44	1	3	81.56371	6.489192	81.928070000000005	5.044669	85.7049	2.0557046
chr1	94150844	94156501	+	L1Md_T	L1Md_T	35	1	3	30.541166	29.091671	52.912216000000001	9.127659	90.53903	0.22949982
chr1	94254640	94261062	-	L1Md_T	L1Md_T	44	1	4	63.190514	27.983292	51.643894000000003	28.11287	72.785034	20.150364
chr1	94646411	94652330	-	L1Md_T	L1Md_T	43	1	3	86.293880000000001	10.066863	85.439384000000004	14.659913	86.31452	10.281329
chr1	94722892	94729739	-	L1Md_T	L1Md_T	30	1	1	56.114407	0	32.858789999999999	0	39.664227	0
chr1	96093472	96098652	+	L1Md_T	L1Md_T	30	1	3	64.414990000000003	28.036654	74.274910000000006	16.677385	88.09107	3.6995294
chr1	96240816	96246131	+	L1Md_T	L1Md_T	48	1	4	65.484340000000003	35.273457	63.594486000000003	33.92801	90.14776	5.735526
chr1	98201134	98206525	+	L1Md_T	L1Md_T	45	1	4	76.456850000000003	21.305416	78.771010000000004	16.07631	91.734184	5.8216267
chr1	98385165	98390890	+	L1Md_T	L1Md_T	44	1	1	74.751980000000003	0	82.650536000000002	0	77.38095	0
chr1	98883180	98889638	-	L1Md_T	L1Md_T	45	1	3	63.949739999999998	18.282097	72.60181	14.1192465	84.092705	7.721475
chr1	98895622	98900817	+	L1Md_T	L1Md_T	45	1	2	61.849870000000003	26.39431	55.207569999999997	4.2022552	70.2365	10.75648
chr1	100746200	100752583	-	L1Md_T	L1Md_T	51	1	2	83.894940000000005	7.015329	83.227059999999994	5.2423396	88.2047	3.89377
chr1	101302418	101307860	+	L1Md_T	L1Md_T	35	1	3	51.777335999999998	28.479725	53.60286	20.22813	81.739525	4.930542
chr1	101330609	101336022	-	L1Md_T	L1Md_T	31	1	3	71.797150000000002	7.802619	71.353899999999996	10.0757675	76.37768	9.414744
chr1	101359492	101365749	-	L1Md_T	L1Md_T	57	1	3	69.420310000000001	7.6284533	73.555779999999999	6.716831	82.56315	5.942142
chr1	101455628	101460815	+	L1Md_T	L1Md_T	44	1	3	61.339210000000001	26.95974	69.849266	13.2599	81.28851	1.5504147
chr1	101758371	101764772	-	L1Md_T	L1Md_T	30	1	3	54.028449999999999	39.48594	54.771538	44.125286	83.20713	6.8606367
chr1	102086175	102092922	-	L1Md_T	L1Md_T	30	1	2	67.560424999999995	0.30737934	69.133089999999996	2.4045148	66.37576	6.3753843
chr1	102962989	102968410	+	L1Md_T	L1Md_T	39	1	4	50.233939999999997	23.163464	49.835762000000003	16.180569	68.48068	10.587923
chr1	103000619	103006101	+	L1Md_T	L1Md_T	53	1	3	48.943263999999999	3.4961097	41.979652000000002	4.8305354	61.859905	18.052475
chr1	103892163	103898244	-	L1Md_T	L1Md_T	45	1	3	76.527029999999996	11.25395	71.808390000000003	3.1613135	83.5647	1.2865642
chr1	104266826	104273061	-	L1Md_T	L1Md_T	41	1	3	70.409260000000003	17.18146	64.952834999999993	21.769258	77.353386	6.649233
chr1	104273776	104280137	-	L1Md_T	L1Md_T	28	1	3	34.578299999999999	15.23784	27.267733	10.931255	86.32578	3.5978122
chr1	105013752	105021026	-	L1Md_T	L1Md_T	31	1	1	60.785187000000001	0	63.422319999999999	0	85.781975	0
chr1	106112984	106119665	-	L1Md_T	L1Md_T	45	1	4	66.184950000000001	28.054163	73.422386000000003	20.82073	93.58944	1.0219644
chr1	107035320	107041388	+	L1Md_T	L1Md_T	97	1	2	81.066479999999999	9.110118	77.186800000000005	0.9964459	86.864746	0.69622546
chr1	107120967	107127213	-	L1Md_T	L1Md_T	50	1	4	44.793689999999998	20.970901	60.847084000000002	8.659803	73.13778	13.16178
chr1	107391339	107396348	+	L1Md_T	L1Md_T	33	1	1	89.170330000000007	0	96.501519999999999	0	90.38152	0
chr1	107822786	107828917	+	L1Md_T	L1Md_T	35	1	1	81.227379999999997	0	93.477360000000004	0	84.09173	0
chr1	108287434	108293620	-	L1Md_T	L1Md_T	31	1	3	62.891945	33.05265	65.041139999999999	17.578684	86.24857	14.867381
chr1	108321469	108328549	-	L1Md_T	L1Md_T	30	1	1	89.551024999999996	0	92.977909999999994	0	81.754234	0
chr1	108517946	108524134	-	L1Md_T	L1Md_T	31	1	2	71.929199999999994	19.262217	81.141784999999999	7.419647	77.47572	9.300224
chr1	108733250	108738673	+	L1Md_T	L1Md_T	50	1	3	68.217063999999993	10.857693	65.605189999999993	7.897072	76.35223	9.988073
chr1	109034648	109040506	+	L1Md_T	L1Md_T	36	1	2	70.739959999999996	21.265074	67.913414000000003	5.04776	80.871826	3.1722214
chr1	109251319	109256483	+	L1Md_T	L1Md_T	35	1	3	64.314880000000002	24.911331	60.356735	11.17031	83.08824	3.2811933
chr1	109264206	109270401	-	L1Md_T	L1Md_T	35	1	3	74.619879999999995	27.086124	63.713099999999997	12.745036	84.570885	2.756349
chr1	109343469	109349899	-	L1Md_T	L1Md_T	46	1	4	61.691833000000003	29.5403	71.185479999999998	2.8431861	80.30066	9.721265
chr1	109724082	109730452	-	L1Md_T	L1Md_T	50	1	4	60.599089999999997	22.786367	57.218586000000002	18.076895	70.29859	15.74439
chr1	109871540	109877159	+	L1Md_T	L1Md_T	35	1	3	41.017310000000002	37.604572	38.992092	26.614887	89.15922	7.935184
chr1	110344317	110349471	-	L1Md_T	L1Md_T	32	1	3	91.869929999999997	7.813421	78.809179999999998	18.00222	83.422775	17.988722
chr1	110541860	110548064	-	L1Md_T	L1Md_T	46	1	3	69.525469999999999	25.249199	65.329155	19.255836	84.62818	10.969888
chr1	110619106	110624946	+	L1Md_T	L1Md_T	48	1	2	66.000309999999999	36.9087	61.391323	24.329124	88.49539	2.9083672
chr1	111272601	111278992	-	L1Md_T	L1Md_T	48	1	3	56.168303999999999	16.466314	56.825882	20.029457	71.715324	18.319788
chr1	111574742	111580156	-	L1Md_T	L1Md_T	35	1	2	85.902940000000001	9.76155	78.905410000000003	3.286645	85.26005	2.1457696
chr1	111626344	111631789	+	L1Md_T	L1Md_T	51	1	4	56.087420000000002	32.16409	64.338080000000005	18.765469	87.82192	2.8443127
chr1	112214102	112220737	-	L1Md_T	L1Md_T	30	1	2	43.13438	43.822876	40.371856999999999	49.41306	88.65257	0.40233853
chr1	112816195	112822468	-	L1Md_T	L1Md_T	43	1	3	57.714184000000003	25.522518	55.154530000000001	23.668268	67.78398	8.082778
chr1	112838120	112844028	+	L1Md_T	L1Md_T	35	1	1	61.985134000000002	0	45.611249999999998	0	87.771996	0
chr1	112864778	112869962	+	L1Md_T	L1Md_T	35	1	3	56.873942999999997	12.966136	58.117283	9.566827	68.74583	7.7314672
chr1	113183818	113190011	-	L1Md_T	L1Md_T	33	1	3	64.712363999999994	14.5459175	61.114235000000001	13.51141	74.55283	9.18187
chr1	114176643	114183955	-	L1Md_T	L1Md_T	31	1	1	85.845984999999999	0	87.260469999999998	0	81.77243	0
chr1	114223881	114230344	-	L1Md_T	L1Md_T	30	1	3	53.970424999999999	21.572449	50.984287000000002	24.086891	79.77359	7.330605
chr1	114270734	114276817	-	L1Md_T	L1Md_T	44	1	3	70.307379999999995	28.525719	67.681100000000001	33.403103	78.30554	8.449115
chr1	114378264	114384248	-	L1Md_T	L1Md_T	39	1	3	82.956100000000006	5.03039	78.39	7.2139645	87.82936	3.590076
chr1	114500005	114505217	+	L1Md_T	L1Md_T	30	1	3	67.703329999999994	11.02256	75.051674000000006	4.9145293	88.60476	9.97018
chr1	114557305	114563416	+	L1Md_T	L1Md_T	36	1	1	75.823943999999997	0	67.533240000000006	0	73.3608	0
chr1	114802334	114809398	-	L1Md_T	L1Md_T	62	1	1	78.899299999999997	0	79.060119999999998	0	84.70219	0
chr1	115302065	115308344	-	L1Md_T	L1Md_T	50	1	3	66.820175000000006	19.218065	64.003879999999995	13.985606	88.313	7.508189
chr1	115447238	115453089	+	L1Md_T	L1Md_T	36	1	1	88.059640000000002	0	87.132289999999998	0	88.904015	0
chr1	115608770	115613920	+	L1Md_T	L1Md_T	41	1	3	83.702029999999993	12.817573	77.980019999999996	11.7283325	84.71314	5.5825014
chr1	116855476	116862552	-	L1Md_T	L1Md_T	32	1	2	52.142055999999997	29.16954	68.374489999999994	0	75.2461	18.592318
chr1	117231809	117237104	+	L1Md_T	L1Md_T	50	1	3	71.173996000000002	18.157547	66.695149999999998	0	87.45731	3.4167511
chr1	117253581	117259900	+	L1Md_T	L1Md_T	71	1	1	89.063500000000005	0	92.614649999999997	0	89.15893	0
chr1	117369775	117376630	-	L1Md_T	L1Md_T	31	1	3	52.944473000000002	32.852978	46.360950000000003	22.143719	86.62356	6.5853877
chr1	117400963	117407169	-	L1Md_T	L1Md_T	38	1	4	53.677140000000001	19.45211	52.439964000000003	12.045403	75.98464	17.299809
chr1	117427980	117434439	-	L1Md_T	L1Md_T	44	1	2	85.065430000000006	7.072929	73.267600000000002	0	82.91235	7.2553916
chr1	117587323	117592786	+	L1Md_T	L1Md_T	51	1	3	37.310577000000002	10.597508	38.408340000000003	14.013579	62.124344	25.570553
chr1	117636746	117641916	+	L1Md_T	L1Md_T	27	1	4	43.140487999999998	10.324283	50.119446000000003	13.008469	49.660107000000004	18.16514
chr1	117918843	117924958	-	L1Md_T	L1Md_T	36	1	3	35.746839999999999	19.389368	41.537999999999997	5.2431283	56.083904	6.4324436
chr1	118096825	118102063	+	L1Md_T	L1Md_T	9	1	2	51.158140000000003	6.783417	56.602364000000001	19.53873	55.662556	17.92972
chr1	118122113	118128852	-	L1Md_T	L1Md_T	31	1	3	38.758674999999997	8.053036	25.177707999999999	17.21912	59.739037	16.774422
chr1	120993989	121000000	+	L1Md_T	L1Md_T	31	1	2	27.517605	25.673885	56.853270000000002	0	97.76434	0.6935604
chr1	121035654	121040924	+	L1Md_T	L1Md_T	36	1	3	62.241140000000001	44.41651	89.858069999999998	1.2133942	95.00618	1.1770403
chr1	121622385	121628573	-	L1Md_T	L1Md_T	28	1	3	68.052090000000007	23.661367	81.079250000000002	8.648228	96.25877	0.98317707
chr1	121663849	121669062	-	L1Md_T	L1Md_T	32	1	2	74.784980000000004	25.253494	87.439210000000003	6.5088058	90.794495	1.7198126
chr1	121737883	121743231	+	L1Md_T	L1Md_T	46	1	3	63.296554999999998	35.8334	62.194670000000002	34.05026	91.98784	2.43146
chr1	122031534	122037929	-	L1Md_T	L1Md_T	33	1	4	59.437823999999999	36.51057	70.204729999999998	23.534338	82.748375	15.444829
chr1	122086419	122092064	+	L1Md_T	L1Md_T	35	1	3	44.527092000000003	39.7204	91.588539999999995	0	93.33573	1.6356527
chr1	122645056	122650230	+	L1Md_T	L1Md_T	35	1	3	63.421860000000002	27.437624	66.988810000000001	3.0359817	92.26137	1.9438486
chr1	122652022	122658209	-	L1Md_T	L1Md_T	45	1	3	78.108919999999998	10.604383	75.464370000000002	1.2630357	91.95689	2.5373616
chr1	122671762	122677961	-	L1Md_T	L1Md_T	33	1	3	64.949393999999998	40.381413	71.824920000000006	26.094631	90.18273	1.2983971
chr1	124141343	124146745	+	L1Md_T	L1Md_T	35	1	2	37.780970000000003	26.973574	32.866881999999997	25.254684	81.06633	2.2656257
chr1	124196063	124201167	+	L1Md_T	L1Md_T	41	1	2	67.171319999999994	32.027264	69.060879999999997	30.70184	92.571884	1.1468313
chr1	124965966	124972396	-	L1Md_T	L1Md_T	30	1	4	55.771625999999998	32.646126	80.006325000000004	2.9547853	90.59774	3.1645687
chr1	125090984	125097315	-	L1Md_T	L1Md_T	45	1	4	77.591224999999994	8.428107	85.597830000000002	4.439812	90.72942	5.0193815
chr1	125134709	125140169	+	L1Md_T	L1Md_T	35	1	2	52.522300000000001	43.40502	84.566140000000004	0	89.9908	2.8105001
chr1	128483879	128489944	-	L1Md_T	L1Md_T	24	1	2	90.298935	5.8492703	88.943020000000004	2.896995	93.054794	0.4855155
chr1	130318643	130324936	-	L1Md_T	L1Md_T	40	1	3	76.265204999999995	30.088432	80.424090000000007	27.837154	95.63374	1.1696888
chr1	131680542	131685994	+	L1Md_T	L1Md_T	35	1	2	37.072327000000001	0.9292888	42.534668000000003	5.520838	94.992165	0
chr1	137338859	137345503	-	L1Md_T	L1Md_T	30	1	2	8.698226	0	13.580247	0	88.30468	0
chr1	137345501	137350569	-	L1Md_T	L1Md_T	48	1	3	22.34601	14.825446	25.224722	18.685184	89.890915	7.4020753
chr1	137526861	137532119	+	L1Md_T	L1Md_T	54	1	1	72.349329999999995	0	88.211969999999994	0	95.56678	0
